name,product_list
天津滨海海胜股权投资基金管理有限公司,天津滨海北辰镒泰股权投资基金有限公司
富鼎和股权投资基金管理（天津）有限公司,北京富鼎和卓越股权投资中心(有限合伙)|武汉富鼎和先锋股权投资基金合伙企业(有限合伙)|天津富鼎和卓越股权投资基金合伙企业(有限合伙)|武汉富鼎和卓越股权投资基金合伙企业(有限合伙)|富鼎和卓捷基金|富鼎和明石基金
天津文化产业股权投资基金管理有限公司,天津文化产业股权投资基金合伙企业(有限合伙)
深圳天图资本管理中心（有限合伙）,深圳市天图兴瑞创业投资有限公司|天津天图兴盛股权投资基金合伙企业(有限合伙)|天津天图兴华股权投资合伙企业(有限合伙)|深圳天图兴深天使创业投资合伙企业(有限合伙)|成都天图天投东风股权投资基金中心(有限合伙)|深圳市天图东峰中小微企业股权投资基金合伙企业(有限合伙)|深圳天图兴南投资合伙企业(有限合伙)|杭州商牛投资管理合伙企业(有限合伙)|深圳福田区天图唐人神创新消费股权投资基金合伙企业(有限合伙)|深圳天图兴立投资企业(有限合伙)|深圳天图兴鹏大消费产业股权投资基金合伙企业(有限合伙)|深圳天图东峰投资咨询中心(有限合伙)|北京天图兴北投资中心(有限合伙)
上海呈瑞投资管理有限公司,永隆新三板投资基金|永隆宏观对冲策略|华宝信托-呈瑞3期证券投资集合资金信托计划|永隆量化趋势|兴业信托-呈瑞1期证券投资集合资金信托计划|兴业信托-呈瑞2期证券投资集合资金信托计划|兴业信托-呈瑞6期证券投资集合资金信托计划|华鑫信托-呈瑞优势1期证券投资集合资金信托计划|华宝信托-呈瑞4期证券投资集合资金信托计划|华宝信托-呈瑞5期证券投资集合资金信托计划|永隆对冲基金|西安信托-呈瑞价值1期证券投资集合资金信托计划|呈瑞念空稳赢多策略私募证券投资基金|烜鼎智鑫五号私募基金|上海多顺企业管理中心(有限合伙)|呈瑞创智卧龙1号私募基金|永隆量化趋势E私募基金|呈瑞盛世1期投资基金|永隆量化趋势D基金|永隆量化趋势C基金|呈瑞景常2号私募证券投资基金|永隆量化趋势B基金|永隆量化趋势A基金|呈瑞善念多策略投资基金|呈瑞巴戟天私募基金|念空多策略一号E基金|烜鼎鑫诚五号私募基金|念空多策略一号F基金|念空多策略一号H基金|念空多策略一号G基金|念空多策略一号I基金|呈瑞-念空量化稳鑫2期私募基金|永隆呈瑞新三板三期专项投资基金|中信信托私募证券基金31号(呈瑞)宏观对冲6期集合资金信托计划|呈瑞念空兴证多策略私募基金|呈瑞永隆宏观对冲E私募证券投资基金|嘉实资本-呈瑞念空量化对冲1号资产管理计划|呈瑞精选7号沣时对冲私募证券投资基金|中信信托私募证券基金31号(呈瑞)宏观对冲2期集合资金信托计划|呈瑞上风5号私募证券投资基金|呈瑞华聚专享私募证券投资基金|紫金呈瑞1号私募证券投资基金|呈瑞有则科创一号私募证券投资基金|呈瑞泉有方一号单一策略私募证券投资基金|威曼德锐炬元增盈1号私募证券投资基金|南华呈瑞念空多策略私募投资基金|呈瑞创智二号私募证券投资基金|呈瑞创智一号私募证券投资基金|呈瑞创智五号私募证券投资基金|念空多策略三号基金|呈瑞创智八号私募证券投资基金|银中新三板资产管理专项基金|呈瑞创智三号私募证券投资基金|中信信托私募证券基金31号(呈瑞)宏观对冲1期集合资金信托计划|浦南新三板资产管理专项基金|呈瑞创智六号私募证券投资基金|永隆宏观对冲策略D私募基金|念空多策略一号L私募证券投资基金|呈瑞善念多策略I基金|呈瑞善念多策略E基金|念空多策略一号J基金|呈瑞稳进一号私募证券投资基金|呈瑞善念多策略J基金|呈瑞善念多策略F基金|念空多策略五号基金|呈瑞善念多策略H基金|呈瑞善念多策略K基金|呈瑞善念多策略G基金|呈瑞善念多策略M基金|呈瑞瑞舟1号私募证券投资基金|呈瑞长善私募证券投资基金|永隆精选E私募基金|呈瑞善念多策略L基金|呈瑞善念多策略N基金|创智进击私募证券投资基金|呈瑞上风6号私募证券投资基金|呈瑞上风1号私募证券投资基金|沣信青岸1号-呈瑞私募证券投资基金|呈瑞念空安泰多策略2号私募证券投资基金|念空银河海金沙私募基金|永隆宏观对冲策略B基金|永隆宏观对冲策略A基金|呈瑞精选5号私募证券投资基金|沣信长青1期-呈瑞私募证券投资基金|永隆宏观对冲策略C基金|永隆精选B基金|永隆精选A基金|永隆精选C基金|呈瑞兴荣2号私募证券投资基金|永隆呈瑞新三板智选2号投资基金|呈瑞精选10号私募证券投资基金|呈瑞创智量化2号私募基金|沣信沣邦-呈瑞私募证券投资基金|永隆呈瑞新三板尊享1号投资基金|国金慧睿多策略-呈瑞1号集合资产管理计划|黎曼多策略私募投资基金|呈瑞正乾1号私募基金|念空正则多策略2期私募证券投资基金|呈瑞银睿1号私募证券投资基金|呈瑞-念空量化稳鑫1期私募基金|永隆呈瑞新三板智选3号投资基金|安财富呈瑞中证500指数增强私募证券投资基金|沣信长青2期-呈瑞私募证券投资基金|古木尊享2号私募证券投资基金|呈瑞和兴2号私募证券投资基金|呈瑞和兴5号私募证券投资基金|呈瑞上风CTA2号私募基金|念空多策略一号投资基金|念空期货管理基金|念空多因子基金|念空正则多策略2A期私募证券投资基金|呈瑞臻至私募投资基金|呈瑞银睿2号私募证券投资基金|永隆精选投资基金|呈瑞创智量化1号私募基金|念空多策略一号D基金|念空多策略一号C基金|念空多策略一号B基金|念空多策略一号A基金|呈瑞上风CTA3号私募证券投资基金|宇速量化FOHF-2号资产管理计划|呈瑞和兴3号私募证券投资基金|呈瑞发展一号投资基金|念空ETF做市基金|念空统计套利基金|呈瑞泉盈私募证券投资基金|呈瑞上风CTA4号私募证券投资基金|建信期货-呈瑞宏观对冲2号资产管理计划|建信期货-呈瑞宏观对冲1号资产管理计划|念空多策略一号M私募证券投资基金|呈瑞创智盈科成长1号私募基金|嘉实资本-呈瑞念空量化对冲1B号资产管理计划|呈瑞念空上善私募基金|呈瑞正乾2号私募证券投资基金|呈瑞正乾5号指数增强私募证券投资基金|呈瑞念空安泰多策略1号私募证券投资基金|呈瑞和兴私募证券投资基金|呈瑞永隆量化趋势F私募证券投资基金|莱布尼兹多策略私募投资基金|呈瑞投资延胡索二期专项私募投资基金|呈瑞投资延胡索一期专项私募投资基金|呈瑞精选2号私募证券投资基金|烜鼎鑫诚二号私募基金|呈瑞朝元私募投资基金|呈瑞善念多策略C基金|呈瑞稳得利投资基金|呈瑞念空至尊多策略1期私募基金|呈瑞念空幸福多策略2号私募证券投资基金|永隆呈瑞新三板一期投资基金|呈瑞善念多策略D基金|呈瑞青琅玕1号私募基金|烜鼎鑫诚九号私募基金|宁波润辉欣隆投资合伙企业(有限合伙)|永隆呈瑞新三板四期投资基金|永隆精选D私募基金|呈瑞平云1号私募证券投资基金|永隆呈瑞新三板二期投资基金(特殊机会)|南华呈瑞念空多策略私募投资二号基金|烜鼎智鑫四号私募基金|呈瑞平心1号私募基金|呈瑞正乾3号私募证券投资基金|呈瑞善念多策略A基金|呈瑞景常1号私募证券投资基金|呈瑞精选6号私募证券投资基金|呈瑞善念多策略B基金
北京汉联资本管理中心（有限合伙）,北京汉能中宏投资中心(有限合伙)
北京鸿信盛和投资管理有限公司,天弘基金-光大银行长盈1号|盛和稳盈1号证券投资基金|鸿信稳盈1号
广州凯纳投资顾问有限公司,财通基金凯纳1号资产管理计划|凯纳量化价值1号基金|中性睿智6号私募投资基金|凯纳文星基金|凯纳量化3号私募基金|凯纳500指数增强7号私募证券投资基金|中性睿智1号私募基金
上海耀之股权投资基金管理有限公司,上海芃翎投资管理中心(有限合伙)|上海耀之求如股权投资基金
长城（天津）股权投资基金管理有限责任公司,北京长华投资基金(有限合伙)|北京长富投资基金(有限合伙)|北京长城民盛中小企业股权投资基金(有限合伙)|北京长城民星城镇化建设投资基金(有限合伙)|芜湖长睿投资中心(有限合伙)|芜湖长展投资中心(有限合伙)|舟山长通投资合伙企业(有限合伙)|芜湖长旺投资基金(有限合伙)|芜湖长韵投资中心(有限合伙)|芜湖长厚投资中心(有限合伙)|芜湖长轩投资基金(有限合伙)|芜湖长群投资中心(有限合伙)|长城国泰-定增1号契约型私募投资基金|芜湖长发投资中心(有限合伙)|芜湖长燿投资基金(有限合伙)|长城国越(杭州)资产管理合伙企业(有限合伙)|芜湖长弘投资中心(有限合伙)|长城国泰-金山契约型私募投资基金|芜湖长逸投资中心(有限合伙)|长城资本稳债1号专项资产管理计划|长城基金-长城资本3号资产管理计划|芜湖长隆投资中心(有限合伙)|芜湖长贞投资基金(有限合伙)|芜湖长辉投资基金(有限合伙)|芜湖长灵投资基金(有限合伙)|芜湖长金投资基金(有限合伙)|芜湖长豪投资中心(有限合伙)|长城投资基金长通2号契约型私募投资基金|芜湖长收投资中心(有限合伙)|芜湖长誉投资中心(有限合伙)|长城(天津)股权投资基金管理有限责任公司长城资本2号资产管理计划|芜湖长高投资中心(有限合伙)|长城(天津)股权投资基金管理有限责任公司长城资本1号资产管理计划|芜湖长茂投资中心(有限合伙)|芜湖长迪投资基金(有限合伙)|芜湖长汇投资基金(有限合伙)|芜湖长海投资基金(有限合伙)|芜湖长港投资基金(有限合伙)|芜湖长元股权投资基金(有限合伙)|芜湖长晋投资基金(有限合伙)|芜湖长钧投资中心(有限合伙)|长城投资基金长通1号契约型私募投资基金|芜湖长吉投资基金(有限合伙)|长城(天津)股权投资基金管理有限责任公司(长城国融1号专项资产管理计划)|长城国泰(舟山)产业并购重组基金合伙企业(有限合伙)|长城国泰-高端装备并购契约型私募投资基金|芜湖长亨投资中心(有限合伙)|芜湖长祺投资中心(有限合伙)|芜湖长创投资中心(有限合伙)|长城新盛3号契约型私募投资基金|芜湖长腾投资基金(有限合伙)|芜湖长泽投资基金(有限合伙)|芜湖长智投资基金(有限合伙)|长城国丰(芜湖)城镇化并购重组基金(有限合伙)|芜湖长鼎投资基金(有限合伙)|长城万兴(芜湖)投资基金(有限合伙)|芜湖长禄投资中心(有限合伙)|芜湖长物投资基金(有限合伙)|芜湖长利投资中心(有限合伙)|芜湖长宝投资中心(有限合伙)
